trial,lr,batch_size,dropout_rate,best_epoch,val_loss,val_acc
0,0.00047676900580174265,128,0.2042749007504523,3,1.1253678398796274,59.74
1,0.0004177521393303868,32,0.24156330928084505,3,0.9467915605051449,66.1
2,0.0020257024240451682,64,0.28296728666221427,3,0.9621546257073712,66.35
3,0.00849637724278732,128,0.11874742702953456,3,1.5541809691658504,42.78
4,0.00010202820038765588,64,0.17874982763544317,3,1.3525319494259584,50.64
5,0.0003522242599656941,64,0.2849190052004539,3,1.0567763907134913,62.09
6,0.0031982295654426787,128,0.22049104513981277,3,0.9493756890296936,66.4
7,0.00967968946118423,128,0.3961143238624726,2,2.303152585331398,9.67
8,0.005491100079656397,32,0.3623828001628999,3,1.5896486938951877,41.24
9,0.0005304086035018013,64,0.3278330150304902,3,0.9298039097694835,66.6
