trial,lr,batch_size,dropout_rate,best_epoch,val_loss,val_acc
0,0.005301507278195081,32,0.466123126135383,6,1.1218602289787878,60.27
1,0.00020584068783106995,32,0.3318439663779078,6,0.8082736729623411,71.5
2,0.0003583656497744671,128,0.30728861381970174,6,0.8181191011320187,71.41
3,0.0002957550112229239,128,0.25790814358290076,6,0.8746338358408288,68.92
4,0.00360746457780638,32,0.3152201452571078,6,0.9105647857577656,67.02
5,0.0006855919862961356,128,0.4495545228171023,6,0.8080723051783405,71.26
6,0.005748249311537688,32,0.3169264931172113,6,1.0872014854281855,60.79
7,0.003918194599042962,64,0.4956345622642607,6,0.9425225759008128,66.9
8,0.00010764787372357126,128,0.3853951165471303,6,0.977705704260476,65.11
9,0.0004967371991400166,64,0.10232454922055029,6,0.7534246023293514,73.35
