trial,lr,batch_size,dropout_rate,best_epoch,val_loss,val_acc
0,0.000797257193389888,128,0.1895087631388398,6,0.7524928703338285,73.37
1,0.00012779056308314944,64,0.29902554706731743,14,0.6670505188073322,76.48
2,0.0006599446907153593,32,0.46645272363170787,15,0.6018403168684378,79.13
3,0.00093751416787683,64,0.38713118525353807,10,0.6565007852141265,77.05
4,0.00013258772689272473,32,0.3395091287865787,12,0.6605016272098493,76.81
5,0.0035335896673794943,64,0.3647880577389315,15,0.7002818388923718,77.09
6,0.0035177598669837978,64,0.4920593726409037,15,0.7337511198915494,75.03
7,0.0009578260927482045,32,0.46371115781551386,15,0.6199263383786138,78.52
8,0.003943833286491378,128,0.1825513565622015,10,0.6695532877988453,76.81
9,0.0017779401869240537,32,0.254395710868234,10,0.657311057939697,77.44
