trial,lr,batch_size,dropout_rate,best_epoch,val_loss,val_acc
0,0.00010380712332529048,64,0.2863856382499588,3,1.3351973712823952,51.12
1,0.007969676401487633,128,0.3176153196906616,3,1.6032561229754099,39.95
2,0.0003197706414538745,32,0.26557520499954285,3,0.9885411073986333,64.9
3,0.005271380368273031,32,0.37409791658572744,1,2.3029966262963635,9.73
4,0.0076460617710938815,64,0.12992518471355732,2,2.3033985119716376,10.25
5,0.000756760963331588,128,0.21093753121042505,3,0.9812934368471556,64.29
6,0.00010633849151503303,32,0.492301711852016,3,1.3135297538373416,51.97
7,0.004658842994599107,64,0.3741872398972532,3,1.3118852475646194,52.59
8,0.008464295259975219,128,0.2848395221059574,3,2.3028927271879174,10.25
9,0.002603231156587066,32,0.3848078881461888,3,1.127697363257789,60.09
